language,type,metric,model,n_rows,n_cases,status,reml_loglike,resid_var,rand_intercept_var,estimate_lvl,se_lvl,z_or_t_lvl,p_lvl,p_lvl_fdr_bh,sig_fdr_bh
english,modify,gpt-4o,,15,5,ok,-27.133293778004152,1.914810365688928,1.0617387656655037,3.9000000000000012,0.4375854620172988,8.912544722168638,4.987442949286947e-19,2.890159247535513e-18,True
english,modify,gpt-5,,15,5,ok,-44.11958553761733,29.18495529510811,8.349779748985394,10.000000000000005,1.7083604799663357,5.8535655192615215,4.811445799028741e-09,1.1692330651403178e-08,True
english,modify,gpt-5 mini,,15,5,ok,-30.69947735929148,3.0814709633098007,2.4395363033141546,5.3999999999999995,0.5551099857964907,9.727801945864648,2.2949832557981395e-22,1.4819034737439416e-21,True
english,modify,gpt-5 nano,,15,5,ok,-33.247703910061595,6.630769230769238,1.8200563786077924e-32,5.600000000000002,0.814295353711983,6.8771115719527085,6.107827431132448e-12,1.792687012254459e-11,True
english,modify,gpt-oss-120b,,15,5,ok,-39.27861984806744,14.8333692082846,2.4221701769853543,8.5,1.217923199889246,6.9790935920860715,2.970905227914989e-12,8.9523277534505e-12,True
english,modify,gpt-oss-20b,,6,2,ok,-9.402326005138658,1.8888884125574017,2.925928774577727,4.500000000000001,0.6871841842907551,6.548462701661949,5.8132371158300975e-11,1.621964923676052e-10,True
english,modify,bleurt_score,,15,5,ok,-3.01099239499543,0.06080001028607533,0.002819918538997342,-0.21954752802848806,0.07797436135427806,-2.8156373994648,0.004868057572306588,0.005946924385628588,True
english,modify,bertscore_f1__roberta-large,,15,5,ok,10.17934036219632,0.006706899204138462,0.002264492310733292,-0.10391070544719713,0.025897681757521197,-4.01235548494681,6.0115881291651e-05,9.704420837080805e-05,True
english,modify,bertscore_f1__xlm-roberta-base,,15,5,ok,31.293665742267393,0.0002659682929819087,7.811236243939714e-05,-0.018755781650543205,0.005157211387774487,-3.6368068400308418,0.00027603877191234556,0.000399902323411475,True
english,modify,bertscore_precision__roberta-large,,15,5,ok,10.488346588110542,0.006373208358585563,0.002200665861973625,-0.10515167713165283,0.02524521411789879,-4.165212330566076,3.110629247394489e-05,5.207423777119662e-05,True
english,modify,bertscore_precision__xlm-roberta-base,,15,5,ok,31.374749036157638,0.00026400597684401116,7.48312781908083e-05,-0.019428837299346923,0.005138151193221266,-3.781289527832361,0.00015601809580401607,0.00023506726434471755,True
english,modify,bertscore_recall__roberta-large,,15,5,ok,9.739943665932458,0.007221742317312277,0.002339191791416457,-0.10301433503627773,0.02687329960632352,-3.8333340730528516,0.00012641808341742617,0.00019174823390831082,True
